cogcomp01,dccs01,deldisk01,er4001,flanker01,lswmt01,nffi01,orrt01,pcps01,psm01,psqi01,self_effic01,tlbx_emsup01,tlbx_friend01,tlbx_perhost01,tlbx_rej01
Fluid Cognition,Cognitive Flexibility (DCCS),Delay Discounting,Emot. Recog. - Total,Inhibition (Flanker task),Working Memory,Agreeableness (NEO),Oral Reading Regonition,Processing Speed,Visual Episodic Memory,Sleep Quality (PSQI),Self Efficacy,Emotional Support,Friendship,Perceived Hostility,Perceived Rejection
Crystallized Cognition,,,Emot. Recog. - Angry,,,Conscientiousness (NEO),,,,,,,,
Total Cognition,,,Emot. Recog. - Fear,,,Extraversion (NEO),,,,,,,,
,,,Emot. Recog. - Happy,,,Neuroticism (NEO),,,,,,,,
,,,Emot. Recog. - Neutral,,,Openness (NEO),,,,,,,,
,,,Emot. Recog. - Sad,,,,,,,,,,
