PicSeq_Unadj
CardSort_Unadj
Flanker_Unadj
ReadEng_Unadj
ProcSpeed_Unadj
VSPLOT_TC
SCPT_SEN
SCPT_SPEC
IWRD_TOT
ListSort_Unadj
MMSE_Score
PSQI_Score
Endurance_Unadj
GaitSpeed_Comp
Dexterity_Unadj
Strength_Unadj
Odor_Unadj
PainInterf_Tscore
Taste_Unadj
Mars_Final
Emotion_Task_Face_Acc
Language_Task_Math_Avg_Difficulty_Level
Social_Task_Perc_Random
Social_Task_Perc_TOM
NEOFAC_A
NEOFAC_O
NEOFAC_C
NEOFAC_N
NEOFAC_E
ER40_CR
ER40ANG
ER40FEAR
ER40HAP
ER40NOE
ER40SAD
AngAffect_Unadj
AngHostil_Unadj
AngAggr_Unadj
FearAffect_Unadj
FearSomat_Unadj
Sadness_Unadj
MeanPurp_Unadj
PosAffect_Unadj
Friendship_Unadj
Loneliness_Unadj
PercHostil_Unadj
PercReject_Unadj
EmotSupp_Unadj
InstruSupp_Unadj
PercStress_Unadj
SelfEff_Unadj
